,Código,Nome,Repac./  Venc.,Índice/ Correção,Taxa de Compra,Taxa de Venda,Taxa Indicativa,Desvio Padrão,Intervalo Indicativo Minimo,Intervalo Indicativo Máximo,PU,% PU Par / % VNE,Duration,% Reune,Referência NTN-B
32,ARTRA4,ARTERIS S/A (*),24/08/2028,"DI + 2,7%","1,7147","1,45","1,5779","0,0162","1,5617","1,5942","1032,525965","101,8381","418,76",,
33,ARTRA5,ARTERIS S/A (*),12/04/2029,"DI + 2,4%","1,759","1,5","1,6252","0,005","1,6202","1,6303","1090,713291","101,5327","505,73",,
34,ASAI18,SENDAS DISTRIBUIDORA S/A (*),22/12/2027,"DI + 1,85%",--,--,"1,4971","0,0828","1,4143","1,5801","1048,912278","100,6598","477,64",,
35,ASAI19,SENDAS DISTRIBUIDORA S/A (*),25/03/2029,"DI + 1,25%","1,1557","0,9644","1,0632","0,0107","1,0525","1,074","1082,151177","100,4316","587,98",,
36,ASAI22,SENDAS DISTRIBUIDORA S/A (*),20/05/2028,"DI + 1,95%","1,3611","1,2109","1,2912","0,0248","1,2663","1,3161","1069,597681","101,1667","451,34",10.0,
37,ASAI28,SENDAS DISTRIBUIDORA S/A (*),22/12/2028,"DI + 1,95%","1,4506","1,2","1,324","0,003","1,321","1,3271","1058,90707","101,5928","647,39",,
38,ASAIA0,SENDAS DISTRIBUIDORA S/A (*),20/06/2029,"DI + 1,25%","1,1449","0,9905","1,1017","0,0276","1,0741","1,1294","1044,977554","100,3772","647,51",35.0,
39,ASAIA1,SENDAS DISTRIBUIDORA S/A (*),25/09/2029,"DI + 1,25%","1,2263","1,0016","1,1173","0,0066","1,1107","1,1239","1081,240632","100,3471","666,04",,
40,ASAIA2,SENDAS DISTRIBUIDORA S/A (*),09/12/2029,"DI + 1,25%",--,--,"1,1981","0,0517","1,1464","1,2499","1047,677831","100,1613","792,05",15.0,
41,ASAIA3,SENDAS DISTRIBUIDORA S/A (*),05/06/2029,"DI + 1,2%","1,3008","1,0375","1,1886","0,0063","1,1823","1,195","1043,708165","100,0322","719,09",35.0,
42,AURE13,AUREN ENERGIA S.A. (*),10/10/2031,"DI + 0,55%","0,6835","0,46","0,5527",0,"0,5527","0,5527","1066,643882","99,9905","891,65",15.0,
43,BCBF15,BCBF PARTICIPAÇÕES S/A (*) (**),04/11/2025,"DI + 2,65%",--,--,--,--,--,--,N/D,N/D,N/D,,
44,BCBF16,BCBF PARTICIPAÇÕES S/A (*) (**),07/10/2027,"DI + 1,45%","0,6528","0,4835","0,5847","0,0304","0,5543","0,6153","1081,147312","100,7662","225,21",,
45,BCPSA3,CLARO S/A,27/01/2026,"DI + 1,35%",--,--,"0,3486","0,0038","0,3447","0,3525","1028,608938","100,3434",87,,
46,BCPSA4,CLARO S/A,20/02/2027,"DI + 1,2%","0,65","0,35","0,5138","0,0194","0,4944","0,5332","1023,435275","100,884","326,04",35.0,
47,BCPSA6,CLARO S/A,10/10/2028,"DI + 0,55%",--,--,--,--,--,--,N/D,N/D,N/D,,
48,BHIAA0,GRUPO CASAS BAHIA S.A. (*) (**),28/11/2029,"DI + 1,5%",--,--,--,--,--,--,"0,362201","30,0865",N/D,,
49,BHIAC0,GRUPO CASAS BAHIA S.A. (*) (**),28/11/2030,DI + 1%,--,--,--,--,--,--,"0,359697","30,0865",N/D,,
50,BKBR19,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A (*) (**),24/04/2027,"DI + 1,9%","1,8713","1,5","1,6806","0,0158","1,6648","1,6966","1070,251712","100,2049","239,43",10.0,
51,BRIT11,BRISANET PARTICIPACOES S.A.,25/08/2027,DI + 2%,"0,8811","0,65","0,7745","0,0241","0,7504","0,7987","686,166206","101,5727","325,75",,
52,BRIT12,BRISANET PARTICIPACOES S.A. (*),10/07/2030,"DI + 1,6%","1,2724",1,"1,1377","0,0164","1,1212","1,1542","1046,85231","101,3326","732,53",,
53,BRKMA6,BRASKEM S/A (*),12/05/2029,"DI + 1,75%","14,9835","10,1012","12,1387","1,3235","10,8152","13,4623","817,63003","77,1049","653,84",45.0,
54,BRKMA8,BRASKEM S/A (*),09/11/2029,"DI + 1,7%","15,5521",13,"14,2512","0,683","13,5682","14,9342","756,309619","71,292","699,67",40.0,
55,BRKMB6,BRASKEM S/A (*),12/05/2032,DI + 2%,"15,3125","11,86","13,6776","1,6249","12,0527","15,3027","728,048464","68,5936","814,91",35.0,
56,BRKMB8,BRASKEM S/A (*),09/11/2032,"DI + 1,95%","15,458",12,"14,1271","0,6876","13,4395","14,8148","704,352047","66,3322","841,24",45.0,
57,BRKPA0,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),15/04/2027,"DI + 2,4%","1,5733","1,4476","1,5038","0,0089","1,495","1,5128","1086,200051","101,1752","335,16",,
58,BRKPA1,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),06/03/2028,"DI + 3,4%","2,2691","2,0262","2,1545","0,0156","2,1389","2,1702","1033,246638","102,5504","524,32",,
59,BRKPA2,BRK AMBIENTAL PARTICIPACOES S/A (*),21/02/2029,"DI + 3,25%","2,1574","1,9402","2,051","0,0246","2,0264","2,0757","1048,108197","103,1889","678,84",5.0,
60,BRKPA3,BRK AMBIENTAL PARTICIPACOES S/A (*),23/08/2029,"DI + 2,93%","2,0662","1,9401","2,0199","0,0215","1,9985","2,0415","1041,477887","102,7018","758,18",35.0,
61,BRMLA1,BR MALLS PARTICIPAÇÕES S/A (*),20/08/2031,"DI + 0,63%","0,7486","0,3484","0,55",0,"0,55","0,55","1017,083687","100,3118","986,87",,
62,BRMLB1,BR MALLS PARTICIPAÇÕES S/A (*),20/08/2034,"DI + 0,95%","0,7412","0,6159","0,6571","0,0264","0,6306","0,6836","1028,889379","101,4455","1247,56",15.0,
63,BRST14,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),15/05/2031,"DI + 1,4%","1,6","1,25","1,4268","0,0043","1,4224","1,4312","1046,781955","99,912","839,21",,
64,BSA312,"B3 S/A - BRASIL, BOLSA, BALCÃO (*) (**)",05/11/2029,"DI + 0,58%",--,--,"0,625","0,0342","0,5908","0,6593","10572,739295","99,8621","777,11",,
65,BSA317,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",11/10/2028,"DI + 1,05%","0,8623","0,698","0,7638","0,0455","0,7183","0,8094","1074,797115","100,5859","519,38",,
66,BSA318,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",28/05/2029,"DI + 0,62%","0,48","0,358","0,4016","0,0164","0,3852","0,4181","1053,765218","100,4737","548,4",45.0,
67,BSA319,"B3 S/A - BRASIL, BOLSA, BALCÃO (*)",08/01/2031,"DI + 0,59%",--,--,"0,6548","0,0434","0,6114","0,6983","1029,757752","99,7729","889,62",,
68,BTGH18,BTG PACTUAL HOLDING S/A (*),10/12/2029,"DI + 1,5%","1,2",1,"1,1","0,0114","1,0886","1,1116","1056,577436","100,9987","634,91",,
69,BVPL11,BORRACHAS VIPAL S.A. (*),16/09/2028,"DI + 4,5%","3,4506","3,0814","3,2649","0,079","3,1858","3,344","719,078506","101,5006",4,5.0,
70,CAEC22,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2029,"DI + 2,2%","1,4055","1,1","1,2686","0,035","1,2336","1,3036","1068,50278","102,1895","597,36",,
71,CAEC32,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),15/06/2031,"DI + 2,5%","1,6072","1,3","1,4741","0,16","1,3141","1,6342","1083,595886","103,5486","877,55",,
72,CAML19,CAMIL ALIMENTOS S/A,30/09/2025,"DI + 2,7%",--,--,"0,7906","0,0419","0,7487","0,8325","541,428388","100,0372",5,,
73,CAMLA1,CAMIL ALIMENTOS S/A,30/10/2028,"DI + 1,55%","1,3836","1,0001","1,2106","0,0194","1,1912","1,2301","1071,511654","100,7041","528,46",,
74,CAMLB1,CAMIL ALIMENTOS S/A,30/10/2028,"DI + 1,55%","1,351","1,0286","1,1993","0,0036","1,1957","1,203","1071,76258","100,7276","528,49",,
75,CASN13,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),16/11/2028,"DI + 5,5%","2,0775","1,3","1,7499","0,0032","1,7467","1,7532","1055,183893","105,1163","350,91",35.0,
76,CASN14,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),15/04/2030,"DI + 2,3%","2,3877","1,4102","1,9329","0,054","1,8788","1,987","1012,594688","100,8705","608,21",,
77,CBAN22,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A (*) (**),15/07/2032,DI + 2%,"0,8","0,5987","0,7",0,"0,7","0,7","911,992545","104,7172","912,01",,
78,CBRDA8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*) (**),10/05/2026,"DI + 1,7%",14,"9,5","11,7489","0,3551","11,3938","12,1042","501,854325","94,6702","146,27",,
79,CBRDB8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*),10/05/2028,"DI + 1,95%","17,3333","12,35","14,339","1,1688","13,1702","15,5078","870,888618","82,0666","425,66",,
80,CCROA7,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A. (*),12/07/2029,"DI + 0,75%","0,4817","0,4","0,44",0,"0,44","0,4401","1037,389927","100,7112","579,92",,
81,CDAR11,UNIDAS LOCADORA S.A. (*) (**),27/09/2027,DI + 2%,"1,7075","1,5","1,5858","0,0437","1,5422","1,6296","1085,806928","100,521","322,03",15.0,
82,CEAB12,C E A MODAS S.A.,13/11/2025,"DI + 2,1%","0,7279","0,592","0,6494","0,0501","0,5993","0,6995","1063,354628","100,2103",37,,
83,CEAB13,C E A MODAS S.A. (*),15/07/2027,"DI + 1,8%","1,1479","0,909","1,0249","0,0034","1,0215","1,0285","1044,171438","101,22",400,,
84,CEAB22,C E A MODAS S.A.,13/05/2028,"DI + 2,4%","0,9","0,7","0,8013","0,003","0,7983","0,8043","814,122226","102,1851","347,55",,
85,CEEBA3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),15/10/2026,"DI + 1,34%",1,"0,3251","0,6624","0,0322","0,6302","0,6947","1075,506284","100,6393","239,44",,
86,CEEBA6,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*) (**),15/08/2028,"DI + 1,95%","1,45","1,25","1,35",0,"1,35","1,35","1031,581359","101,4243","604,29",,
87,CEEBA7,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/11/2028,"DI + 1,18%","0,7946","0,5","0,6953","0,1078","0,5875","0,8032","1069,010775","101,2032","628,3",,
88,CEEBA8,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),10/06/2029,"DI + 0,95%","0,8","0,4","0,6064","0,0175","0,5889","0,6239","1054,744945","100,9845","724,76",,
89,CEEBB3,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/10/2028,"DI + 1,49%","1,0325","0,8","0,9169","0,0268","0,8902","0,9438","1081,905264","101,1722","519,18",,
90,CEEBB4,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),15/04/2029,"DI + 1,68%",--,--,"0,9197","0,0245","0,8951","0,9443","1089,515727","101,7999","600,09",,
91,CEEBB8,CIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA (*),10/06/2031,"DI + 1,1%",--,--,"0,7927","0,016","0,7767","0,8088","1056,658961","101,1237","926,31",,
92,CEED11,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*) (**),15/08/2026,"DI + 1,45%",1,"0,5558","0,8155","0,0592","0,7563","0,8748","255,508665","100,5386","215,75",,
93,CEED14,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),11/12/2029,"DI + 1,65%","1,1288","0,7942","0,976","0,0578","0,9182","1,0339","1063,647826","101,6923","636,76",,
94,CEED16,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),05/08/2030,"DI + 1,05%","0,8571","0,5734","0,7275","0,0119","0,7156","0,7396","1030,813531","100,9653","758,09",,
95,CEED18,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*),25/03/2030,"DI + 0,8%","0,865","0,4551","0,6803","0,0397","0,6407","0,7201","1072,672361","100,3868","819,18",,
96,CELP16,CENTRAIS ELETRICAS DO PARA S.A - CELPA (*) (**),15/05/2028,"DI + 1,4%","1,0111","0,735","0,8704","0,0293","0,8411","0,8998","0,495253","100,7298","350,8",,
97,CEMTE2,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.(*) (**),10/06/2029,"DI + 1,05%","0,5142","0,3966","0,4604","0,0116","0,4488","0,4722","1058,312099","101,2966","555,58",,
98,CEPEA1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/10/2026,"DI + 1,39%","1,0129","0,6716","0,8692","0,0922","0,777","0,9616","1074,145913","100,4902","239,33",,
99,CEPEA3,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/11/2028,"DI + 1,18%",1,"0,7","0,8503","0,0007","0,8496","0,8511","1064,920367","100,816","627,89",,
100,CEPEA4,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),18/03/2029,"DI + 1,18%","0,6485","0,5","0,5724","0,0063","0,5661","0,5789","1019,064349","101,7239","715,84",,
101,CEPEB1,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*) (**),15/10/2028,"DI + 1,54%","1,0464","0,6929","0,8914","0,2155","0,6759","1,107","1083,793143","101,3267","518,98",,
102,CEPEB2,COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*),15/04/2029,"DI + 1,68%","1,4053","0,5651","1,1325","0,1459","0,9865","1,2785","1084,067287","101,2909","599,46",,
103,CERO19,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,15/04/2029,"DI + 0,85%",--,--,"0,7875","0,1855","0,602","0,9731","1068,196298","100,1689","686,25",,
104,CEROA2,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,15/12/2029,"DI + 0,95%",--,--,"0,9026","0,0315","0,8711","0,9341","1043,599188","100,1495","801,72",,
105,CEROB2,CENTRAIS ELETRICAS DE RONDONIA S/A CERON,15/12/2031,"DI + 1,1%",--,--,--,--,--,--,N/D,N/D,N/D,,
106,CESE22,CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A. (*) (**),15/09/2028,"DI + 2,5%",--,--,"1,0603","0,2495","0,8109","1,3099","771,494574","102,4661","435,25",,
107,CGASA3,COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*),15/05/2028,"DI + 0,45%",--,--,"0,4901","0,0127","0,4774","0,5029","1051,419635","99,9133","547,77",10.0,
108,CGBP14,ESSENTIA PCHS S.A (*),25/03/2032,DI + 1%,"0,85","0,6259","0,75","0,0002","0,7498","0,7504","1083,848582","100,7704","781,96",,
109,CGOS14,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/10/2029,"DI + 1,65%","0,97","0,492","0,7244","0,0117","0,7127","0,7362","1,093491","102,1847","597,22",,
110,CGOS15,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),20/03/2030,"DI + 1,05%","0,6899","0,4262","0,5556","0,0141","0,5414","0,5698","1014,533187","101,3932","711,75",35.0,
111,CGOS17,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),05/08/2030,DI + 1%,"0,75","0,5075","0,6356","0,0205","0,6151","0,6562","1032,048663","101,0933","758,91",,
112,CGOS18,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*),15/09/2030,DI + 1%,"0,7964","0,4976","0,6397","0,0212","0,6185","0,661","1014,829951","101,124","788,97",,
113,CHSF14,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF (*),15/09/2031,"DI + 0,85%","0,7282","0,44","0,578","0,0142","0,5638","0,5924","1015,02669","101,1472","1065,68",15.0,
114,CHSF24,COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF (*),15/09/2034,"DI + 1,05%",--,--,"1,1223","0,0227","1,0996","1,1451","999,990511","99,6441","1255,4",,
115,CHTH11,CHINA THREE GORGES BRASIL ENERGIA S.A. (*),15/12/2029,"DI + 0,43%","0,7744","0,4021","0,6","0,0711","0,5289","0,6712","1035,446532","99,5098","731,87",45.0,
116,CIEL17,CIELO S/A,17/12/2027,"DI + 0,54%",--,--,"0,4895","0,0467","0,4428","0,5363","1041,274863","100,0959","480,82",,
117,CIEL18,CIELO S/A (*),08/05/2029,"DI + 0,54%","0,4968","0,4422","0,4726","0,0115","0,4611","0,4842","1055,840996","100,1883","706,98",,
118,CLCD14,CELESC DISTRIBUIÇÃO S/A (*) (**),29/09/2025,"DI + 2,6%","1,3329","0,6457","1,1223","0,3829","0,7394","1,5053","164,742039","100,8032",4,,
119,CLCD16,CELESC DISTRIBUIÇÃO S/A (*),15/11/2028,"DI + 1,65%",--,--,"1,3286","0,2592","1,0695","1,5879","1064,041289","100,5625","446,64",,
120,CLCD17,CELESC DISTRIBUIÇÃO S/A (*),15/07/2031,"DI + 0,95%",--,--,"0,5281","0,488","0,0401","1,0162","1045,772407","101,544","923,54",,
121,CLII12,CORREDOR LOGISTICA E INFRAESTRUTURA S.A (*),10/10/2031,"DI + 3,5%","2,0217","1,6217","1,8263","0,041","1,7853","1,8674","1107,056538","104,5206","690,8",,
122,CLIS11,CLI SUL S/A (*),10/10/2031,"DI + 3,2%",--,--,"1,8261","0,0332","1,7929","1,8594","1177,473559","103,556","663,24",,
123,CMGD18,CEMIG DISTRIBUIÇÃO S/A (*) (**),15/06/2027,"DI + 1,35%","1,0078","0,4575","0,7107","0,0339","0,6767","0,7447","1053,169819","100,957","379,46",,
124,CMGD19,CEMIG DISTRIBUIÇÃO S/A (*) (**),15/05/2026,"DI + 2,05%","1,5235","1,24","1,3598","0,0723","1,2875","1,4321","531,954533","100,4059","150,44",,
125,CMGDA0,CEMIG DISTRIBUIÇÃO S/A (*),15/02/2029,"DI + 0,8%","0,6478","0,3585","0,5019","0,0015","0,5004","0,5035","1023,153196","100,718","609,02",45.0,
126,CMGDA1,CEMIG DISTRIBUIÇÃO S/A (*),15/09/2031,"DI + 0,55%","0,7875","0,405","0,5971","0,0078","0,5892","0,605","1001,567474","99,813","1006,74",,
127,CMGDA2,CEMIG DISTRIBUIÇÃO S/A (*),15/03/2032,"DI + 0,86%","0,8015","0,5928","0,7211","0,0164","0,7047","0,7376","1009,357433","100,582","1061,86",,
128,CMGDA3,CEMIG DISTRIBUIÇÃO S/A (*),15/04/2030,"DI + 0,64%","0,7","0,3258","0,5256","0,0359","0,4897","0,5616","1070,252822","100,3434","759,92",,
129,CMGDB3,CEMIG DISTRIBUIÇÃO S/A (*),15/04/2032,"DI + 0,8%",--,--,"0,8451","0,059","0,786","0,9042","1065,442535","99,8213","1007,28",,
130,CMGTA0,CEMIG GERAÇÃO E TRANSMISSÃO S/A (*),15/03/2030,"DI + 0,64%","0,6844","0,5357","0,6171","0,0136","0,6034","0,6308","1004,184529","100,0717","793,97",,
131,CMPH14,CM HOSPITALAR S.A.,05/11/2028,"DI + 1,7%",82,25,"50,3281","8,8924","41,4357","59,2206","685,205519","64,4356","235,39",,
132,CMTR19,CEMIG GERAÇÃO E TRANSMISSÃO S/A (*),15/12/2027,"DI + 1,33%","0,8483","0,502","0,6757","0,004","0,6717","0,6798","1050,438293","100,7007","272,11",,
133,COCE19,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE (*),10/01/2026,"DI + 1,48%","1,25","0,9761","1,1152","0,0228","1,0925","1,1381","1033,950983","100,1087",76,,
134,COCEA2,COMPANHIA ENERGÉTICA DO CEARÁ - COELCE (*),15/05/2029,"DI + 1,1%","1,1312","0,92","1,025","0,019","1,0061","1,0441","1053,246298","100,2082","706,49",,
135,COGNA2,COGNA EDUCACAO S.A (*),15/05/2027,"DI + 1,35%","1,1","0,7051","0,9291","0,0328","0,8963","0,962","1063,228345","100,5941","358,81",,
136,COGNA3,COGNA EDUCACAO S.A (*),15/07/2027,"DI + 1,35%","1,1128","0,8","0,95","0,0002","0,9498","0,9503","1037,187812","100,6314","401,21",,
137,COGNA4,COGNA EDUCACAO S.A (*),19/11/2029,"DI + 1,6%","1,2172","0,7951","1,0301","0,0423","0,9878","1,0725","1073,246263","101,5736","700,63",,
138,COGNB2,COGNA EDUCACAO S.A (*),15/05/2029,"DI + 1,6%","1,2101","0,8029","1,0246","0,0419","0,9827","1,0666","1072,758115","101,4045","619,7",,
139,COLNA3,RODOVIAS DAS COLINAS S/A (*),15/01/2032,"DI + 0,8%","0,8273","0,7","0,7574","0,0299","0,7275","0,7874","1026,344277","100,1528","910,26",,
140,COMR16,COMERC PARTICIPACOES S.A. (*),15/04/2027,"DI + 2,2%","1,8724","1,6925","1,7723","0,0056","1,7667","1,7779","1078,663483","100,5598","335,52",,
